,smiles,fragments,n_fragments,C,F,N,O,Other,SINGLE,DOUBLE,TRIPLE,Tri,Quad,Pent,Hex,logP,mr,qed,SAS,tpsa,score,rank
850,O=C(NCc1nnnn1-c1ccc(Cl)cc1)c1ccc2c(c1)OCO2,*C(=O)c1ccc2c(c1)OCO2 *NCc1nnnn1-c1ccc(Cl)cc1,2,16,0,5,3,1,19,9,0,0,0,2,2,1.9744,87.89920000000002,0.771427647481,2.129011615523323,91.16000000000004,-7.2,3
849,CC(N)C(=O)NCc1ccc(O)cc1,*NCC *C(=O)NCc1ccc(O)cc1,2,10,0,2,2,0,10,4,0,0,0,0,1,0.35559999999999964,53.60290000000003,0.6497791270604238,2.1637435756398364,75.35000000000001,-5.6,3
848,CN(CCCS(C)(=O)=O)C(=O)CNC(=O)c1cccc(F)c1,*N(C)C(=O)CNC(=O)c1cccc(F)c1 *CCCS(C)(=O)=O,2,14,1,2,4,1,15,7,0,0,0,0,1,0.4486,80.69800000000004,0.803089186794,2.120815664879064,83.55000000000001,-5.7,3
847,CC(N)C(=O)Nc1ccc(S(C)(=O)=O)cc1,*NCC *C(=O)Nc1ccc(S(C)(=O)=O)cc1,2,10,0,2,3,1,10,6,0,0,0,0,1,0.37579999999999975,61.83090000000003,0.8013115243841944,2.162136161652306,89.25999999999999,-5.6,3
846,COc1cccc(CCNC(=O)C(C)N)c1,*NCC *C(=O)NCCc1cccc(OC)c1,2,12,0,2,2,0,12,4,0,0,0,0,1,0.7011000000000001,63.35710000000003,0.770514668999331,2.1347417560579007,64.35,-6.1,3
845,COC(=O)c1ccc(CN2CC(c3nc(-c4cccnc4)no3)C2)cc1,*C(=O)OC *c1ccc(CN2CC(*)C2)cc1 *c1nc(-c2cccnc2)no1,3,19,0,4,3,0,20,9,0,0,1,1,2,2.5176,93.32850000000002,0.6530765566,2.1678522586944293,81.35000000000001,-7.4,3
844,CC(N)C(=O)NCc1cccc(NC(=O)c2ccc(F)cc2)c1,*NCC *C(=O)NCc1cccc(NC(=O)c2ccc(F)cc2)c1,2,17,1,3,2,0,16,8,0,0,0,0,2,2.0413999999999994,86.29130000000002,0.7892281719937893,2.144002218893192,84.22,-7.3,3
1089,CC(N)C(=O)N1CC(C(=O)N2CCOCC2)C1,*NCC *C(=O)N1CC(C(=O)N2CCOCC2)C1,2,11,0,3,3,0,16,2,0,0,1,0,1,-1.3491999999999984,61.11840000000003,0.6483844183275073,2.690937545736503,75.87,-5.6,3
870,Cc1nc2ccc(C(=O)N3CCN(c4ncccc4F)CC3)cc2nc1C,*c1ccc2nc(C)c(C)nc2c1 *C(=O)N1CCN(c2ncccc2F)CC1,2,20,1,5,1,0,21,9,0,0,0,0,4,2.7431400000000004,101.32350000000004,0.6951456756550001,2.2462722155842734,62.220000000000006,-7.6,3
903,NC(CN1CCOCC1)=NOCC(=O)Nc1ccccc1,*CC(N)=NOCC(=O)Nc1ccccc1 *N1CCOCC1,2,14,0,4,3,0,17,5,0,0,0,0,2,0.2461,79.90510000000003,0.456220176205,2.173357113496482,89.18,-5.8,3
871,Cc1onc(-c2ccncc2)c1C(=O)Nc1cccc(C(=O)N2CCOCC2)c1,*c1noc(C)c1C(=O)Nc1cccc(C(=O)N2CCOCC2)c1 *c1ccncc1,2,21,0,4,4,0,22,10,0,0,0,1,3,2.76972,105.58870000000005,0.7290451295360001,2.2270814050377084,97.56,-7.9,3
873,COCC(=O)Nc1c(C(=O)N2CCN(Cc3ccccc3)CC2)oc2ccccc12,*C(=O)COC *Nc1c(C(=O)N2CCN(Cc3ccccc3)CC2)oc2ccccc12,2,23,0,3,4,0,24,9,0,0,0,1,3,2.9757,114.34220000000003,0.673330606172,2.1108215128442933,75.02000000000001,-7.6,3
901,O=c1[nH]c2ccccc2c(=O)n1CCSCCCO,*n1c(=O)[nH]c2ccccc2c1=O *CCSCCCO,2,13,0,2,3,1,15,5,0,0,0,0,2,0.8054,77.85650000000003,0.780175628619,2.279246379421954,75.09,-6.6,3
900,COCCN1CCN(C(=O)c2cc(F)ccc2[N+](=O)[O-])CC1=O,*CCOC *N1CCN(C(=O)c2cc(F)ccc2[N+](=O)[O-])CC1=O,2,14,1,3,5,0,18,6,0,0,0,0,2,0.6647,77.41390000000001,0.5961563341139999,2.28310241033647,92.99,-6.6,3
899,CC(N)C(=O)NCC(=O)NCCc1c[nH]c2ccccc12,*NCC *C(=O)NCC(=O)NCCc1c[nH]c2ccccc12,2,15,0,4,2,0,16,6,0,0,0,1,1,0.2900000000000012,81.67150000000004,0.614416565801728,2.4541156613645665,100.00999999999999,-6.6,3
898,CC(N)C(=O)NNC(=O)CCOc1ccccc1,*NCC *C(=O)NNC(=O)CCOc1ccccc1,2,12,0,3,3,0,13,5,0,0,0,0,1,-0.04989999999999939,66.48880000000003,0.6395437569515151,2.3192317276805046,93.45,-6.1,3
897,CC(N)C(=O)NCCC(=O)Nc1cccc(NC(N)=O)c1,*NCC *C(=O)NCCC(=O)Nc1cccc(NC(N)=O)c1,2,13,0,5,3,0,15,6,0,0,0,0,1,-0.03080000000000005,79.55390000000001,0.5021164022184829,2.359409039529666,139.34,-6.3,3
896,Cc1c(NC(=O)CCCO)cccc1C(=O)[O-],*c1cccc(C(=O)[O-])c1C *CC(=O)N* *CCO,3,12,0,1,4,0,12,5,0,0,0,0,1,0.06952,60.45900000000002,0.7773714111660001,2.343637484850591,89.46000000000001,-6.3,3
895,CC(N)CCn1c(=O)[nH]c2ccccc2c1=O,*NCC *CCn1c(=O)[nH]c2ccccc2c1=O,2,12,0,3,2,0,13,5,0,0,0,0,2,0.4271000000000001,67.09510000000002,0.8061340151097702,2.525059341794284,80.88,-6.7,3
894,CC(N)=CC(=O)N1CCN(CC(=O)Nc2cc(C)on2)CC1,*NCC *=CC(=O)N1CCN(CC(=O)Nc2cc(C)on2)CC1,2,14,0,5,3,0,18,5,0,0,0,1,1,-0.07177999999999907,80.83410000000003,0.7544336688403493,2.462481995269984,104.70000000000002,-6.5,3
892,O=C([O-])c1ccc(OCCn2nnc3ccccc32)cc1,*C(=O)[O-] *CCOc1ccc(*)cc1 *n1nnc2ccccc21,3,15,0,3,3,0,15,8,0,0,0,1,2,0.8738,73.79550000000003,0.704197716553,2.314951060533053,80.07000000000001,-6.7,3
891,Cc1ccc(C(=O)[O-])cc1NC(=O)c1nn(C)c(=O)c2ccccc12,*c1ccc(C)c(NC(=O)c2nn(C)c(=O)c3ccccc23)c1 *C(=O)[O-],2,18,0,3,4,0,17,10,0,0,0,0,3,0.85772,90.4467,0.7755972295319999,2.3692371893539,104.11999999999998,-6.8,3
890,NC(=O)c1nnn(-c2ccc(F)c(Cl)c2)c1N,*C(N)=O *c1nnn(-c2ccc(F)c(Cl)c2)c1N,2,9,1,5,1,1,12,6,0,0,0,1,1,0.7409,59.2573,0.840545821558,2.319632468128182,99.82,-6.7,3
889,CC(N)NC(=O)C(=O)NCc1ccc(F)cc1,*NCC *NC(=O)C(=O)NCc1ccc(F)cc1,2,11,1,3,2,0,12,5,0,0,0,0,1,-0.1372000000000002,60.038800000000016,0.5068935073764094,2.4887204888803165,84.22,-6.1,3
888,CC(N)C(=O)NCC(=O)N1CCN(c2ccccc2)CC1,*NCC *C(=O)NCC(=O)N1CCN(c2ccccc2)CC1,2,15,0,4,2,0,17,5,0,0,0,0,2,-0.20139999999999936,81.89410000000005,0.8046941414323219,2.2858590772706933,78.66999999999999,-5.9,3
887,CCCNC(=O)CNC(=O)c1csnn1,*CCC *CC(=O)N* *NC(=O)c1csnn1,3,8,0,4,2,1,11,4,0,0,0,1,0,-0.2059,55.54290000000002,0.7544017591419999,2.308659492430291,83.98,-5.5,3
886,CC(N)NC(=O)CN1CCN(C(=O)c2ccccc2)CC1,*NCC *NC(=O)CN1CCN(C(=O)c2ccccc2)CC1,2,15,0,4,2,0,17,5,0,0,0,0,2,-0.1346999999999985,80.57760000000005,0.7569723604967803,2.3654744618860786,78.67,-6.2,3
885,CC(N)=CC(=O)OCC(=O)N1CCCC1,*NCC *=CC(=O)OCC(=O)N1CCCC1,2,10,0,2,3,0,12,3,0,0,0,1,0,0.014499999999999735,54.717400000000026,0.5282509662110065,2.2515436253705214,72.63000000000001,-5.9,3
884,N#CCCN1CCN(S(=O)(=O)c2ccc(S(=O)(=O)N3CCOCC3)cc2)CC1,*CCC#N *N1CCN(S(=O)(=O)c2ccc(S(=O)(=O)N3CCOCC3)cc2)CC1,2,17,0,4,5,2,22,7,1,0,0,0,3,-0.07252,101.44860000000006,0.642208343791,2.250759248654873,111.01999999999998,0.0,3
883,Cc1ccccc1-c1noc(CCC(=O)NCc2ccc(F)cc2)n1,*c1ccccc1C *c1noc(CCC(=O)NCc2ccc(F)cc2)n1,2,19,1,3,2,0,18,9,0,0,0,1,2,3.43312,91.03870000000002,0.731435801918,1.932183928484335,68.02000000000001,-7.5,3
882,O=C(COc1ccc2ccccc2c1)NNC(=S)NC(=O)c1cccc(Cl)c1,*CC(=O)NNC(=S)NC(=O)c1cccc(Cl)c1 *Oc1ccc2ccccc2c1,2,20,0,3,3,2,19,11,0,0,0,0,3,3.2077,112.2376,0.445041920912,2.023390044662662,79.46000000000001,-7.5,3
881,COc1ccc(-c2ccccc2C(N)=O)c2ccc(C)nc12,*c1ccc(OC)c2nc(C)ccc12 *c1ccccc1C(N)=O,2,18,0,2,2,0,15,9,0,0,0,0,3,3.31772,86.98590000000003,0.7906771541750001,1.967621372075096,65.21000000000001,-7.5,3
880,CNC(=O)c1ccc(C=CC(=O)Oc2cccc(NC(=O)C3CC3)c2)cc1,*C(=O)NC *OC(=O)C=Cc1ccc(*)cc1 *c1cccc(NC(=O)C2CC2)c1,3,21,0,2,4,0,19,10,0,1,0,0,2,3.0135,102.29690000000002,0.463779404211,2.023728795846118,84.5,-7.5,3
879,Cc1ccc(O)c(C(=O)N2CCN(S(=O)(=O)c3cccc(Br)c3)CC2)c1,*c1cc(C)ccc1O *C(=O)N1CCN(S(*)(=O)=O)CC1 *c1cccc(Br)c1,3,18,0,2,4,2,19,9,0,0,0,0,3,2.60982,101.64810000000004,0.79564054669,2.0344564125405835,77.92,-7.5,3
878,O=C(Cc1cc2ccccc2[nH]c1=O)Nc1ccc(F)cc1F,*CC(=O)Nc1ccc(F)cc1F *c1cc2ccccc2[nH]c1=O,2,17,2,2,2,0,16,9,0,0,0,0,3,2.9875,83.26040000000002,0.772624368426,1.954957524453123,61.96,-7.4,3
877,O=C(CNC(=O)c1cccc2ccccc12)NN=Cc1cc(Cl)ccc1O,*CC(=O)NN=Cc1cc(Cl)ccc1O *NC(=O)c1cccc2ccccc12,2,20,0,3,3,1,18,11,0,0,0,0,3,3.0789,105.1347,0.4625898997820001,2.0991433444554044,90.79,-7.9,3
876,Cn1cc(CCNC(=O)c2ccc(N3CCc4ccccc4C3)cc2)cn1,*c1cnn(C)c1 *CCNC(=O)c1ccc(N2CCc3ccccc3C2)cc1,2,22,0,4,1,0,21,9,0,0,0,1,3,2.9553,106.88320000000004,0.75389228323,2.1309078508351007,50.16,-7.6,3
875,COc1ccc(-c2cccc3ccccc23)c(C(=O)[O-])c1,*c1ccc(OC)cc1C(=O)[O-] *c1cccc2ccccc12,2,18,0,0,3,0,14,9,0,0,0,0,3,2.8789,80.26650000000004,0.733519431265,2.13198208197063,49.36,-7.6,3
874,Cc1ccc(C(=O)Nc2nnc(CS(=O)(=O)c3ccccc3)o2)cc1C,*c1ccc(C)c(C)c1 *C(=O)Nc1nnc(*)o1 *CS(=O)(=O)c1ccccc1,3,18,0,3,4,1,17,11,0,0,0,1,2,2.91264,95.49900000000002,0.733420071111,2.175598720232891,102.16,-7.8,3
872,CCc1noc(-c2ccc(C)c(NC(=O)NCC(=O)N3CCCCC3)c2)n1,*c1nc(CC)no1 *C(=O)CNC(=O)Nc1cc(*)ccc1C *N1CCCCC1,3,19,0,5,3,0,22,7,0,0,0,1,2,2.74142,101.30140000000004,0.837254020959,2.2767625252745862,100.36,-7.9,3
965,O=C(CN1C(=O)NC2(CCCC2)C1=O)NNC(=O)c1ccccc1F,*CC(=O)NNC(=O)c1ccccc1F *N1C(=O)NC2(CCCC2)C1=O,2,16,1,4,4,0,20,7,0,0,0,2,1,0.4513,83.45260000000003,0.5557931688059999,2.6758789224806168,107.61,-7.1,3
893,CC(N)CNC(=O)c1nn(C)c(=O)c2ccccc12,*NCC *CNC(=O)c1nn(C)c(=O)c2ccccc12,2,13,0,4,2,0,14,6,0,0,0,0,2,0.010500000000000398,72.96660000000003,0.8131376083449384,2.546302310301863,90.00999999999999,-6.7,3
967,O=C([O-])CCNC(=O)CN1C(=O)C(=Cc2ccccc2F)SC1=S,*CCC(=O)[O-] *C=C1SC(=S)N(CC(=O)N*)C1=O *c1ccccc1F,3,15,1,2,4,2,17,8,0,0,0,1,1,0.2831,88.91270000000002,0.587514765199,2.6635943424515567,89.53999999999999,-6.9,3
1056,O=C(COc1cccc(-c2nnco2)c1)NC1CC1,*CC(=O)NC1CC1 *Oc1cccc(-c2nnco2)c1,2,13,0,3,3,0,15,6,0,1,0,1,1,1.394,66.39370000000002,0.886895139678,2.164613139328716,77.25,-6.7,3
1055,O=C(CCNc1ncccn1)N1CCN(C(=O)Cc2ccccc2F)CC1,*CCC(=O)N1CCN(C(=O)Cc2ccccc2F)CC1 *Nc1ncccn1,2,19,1,5,2,0,21,8,0,0,0,0,3,1.3312,98.40270000000004,0.838109465129,2.1809017014829912,78.43,-6.9,3
1054,COC(=O)c1cc2ccccc2cc1NC(=O)c1c[nH]c(=O)n(C)c1=O,*C(=O)OC *c1cc2ccccc2cc1NC(=O)c1c[nH]c(=O)n(C)c1=O,2,18,0,3,5,0,18,10,0,0,0,0,3,1.2657,95.54440000000004,0.6970866354530001,2.279367951002122,110.26,-7.1,3
1053,CC(N)CC(=O)NNC(=O)COc1ccc2ccccc2c1,*NCC *CC(=O)NNC(=O)COc1ccc2ccccc2c1,2,16,0,3,3,0,16,7,0,0,0,0,2,1.1033000000000004,83.99480000000003,0.7210133915147884,2.414817743242592,93.45,-7.1,3
1052,CN1C(=O)c2ccc(C(=O)Nc3cc([N+](=O)[O-])ccc3O)cc2C1=O,*c1ccc2c(c1)C(=O)N(C)C2=O *C(=O)Nc1cc([N+](=O)[O-])ccc1O,2,16,0,3,6,0,17,10,0,0,0,1,2,1.7785,85.58040000000003,0.3814064471769999,2.132515942058996,129.85000000000002,-6.6,3
1051,Cc1cccc(OCCNC(=O)N2CCN(c3cnccn3)CC2)c1,*c1cccc(C)c1 *OCCNC(=O)N1CCN(c2cnccn2)CC1,2,18,0,5,2,0,20,7,0,0,0,0,3,1.69562,95.89070000000004,0.845044371401,2.138739961150298,70.59,-6.6,3
1050,COc1ccccc1-n1ccn(CC(=O)Nc2ccccc2F)c(=O)c1=O,*c1ccccc1OC *n1ccn(CC(=O)Nc2ccccc2F)c(=O)c1=O,2,19,1,3,4,0,19,10,0,0,0,0,3,1.7856,97.88070000000006,0.700369829443,2.1397650306639324,82.32999999999998,-7.0,3
1049,O=C(CNC(=O)Cc1cccc(F)c1)NCCn1cccc1,*CC(=O)NCCn1cccc1 *CC(=O)N* *c1cccc(F)c1,3,16,1,3,2,0,16,7,0,0,0,1,1,1.1023,80.55540000000005,0.81501195133,2.129545335208736,63.13,-6.5,3
1048,CNC(=O)NC(=O)CCN1CCc2ccc(Cl)cc2C1,*C(=O)NC *CCC(=O)N* *N1CCc2ccc(Cl)cc2C1,3,14,0,3,2,1,16,5,0,0,0,0,2,1.5438,77.64840000000002,0.897421630352,2.1601844767101195,61.440000000000005,-7.2,3
1047,Cc1nc(CN2CCN(C(=O)c3ccc(F)c(F)c3)CC2)no1,*c1noc(C)n1 *CN1CCN(*)CC1 *C(=O)c1ccc(F)c(F)c1,3,15,2,4,2,0,19,6,0,0,0,1,2,1.61422,76.57350000000002,0.8665437105310001,2.150388530370284,62.470000000000006,-7.1,3
1046,CN(C)C(=O)c1cccc(OS(=O)(=O)c2ccccc2)c1,*N(C)C *C(=O)c1cccc(OS(=O)(=O)c2ccccc2)c1,2,15,0,1,4,1,13,9,0,0,0,0,2,2.1561,78.71530000000004,0.814807293928,1.838777837938801,63.68,-6.2,3
1045,NC(=O)CSc1ccccn1,*CC(N)=O *Sc1ccccn1,2,7,0,2,1,1,7,4,0,0,0,0,1,0.659,44.155400000000014,0.6865036393260001,2.0293278797215475,55.98,-5.1,3
1044,CCOc1ccc(S(=O)(=O)NCCc2ccccn2)cc1,*OCC *CCNS(=O)(=O)c1ccc(*)cc1 *c1ccccn1,3,15,0,2,3,1,14,8,0,0,0,0,2,2.0013,80.74050000000004,0.853647664128,1.812749774278324,68.29,-6.0,3
1043,COc1ccc(CCNC(=O)c2cccn2C)cc1,*c1ccc(OC)cc1 *CCNC(=O)c1cccn1C,2,15,0,2,2,0,14,6,0,0,0,1,1,2.0062,74.44420000000004,0.895644870112,1.803518174293748,43.26,-5.9,3
1042,COc1ccc(OC)c(NC(=O)N2CCOCC2)c1,*c1cc(OC)ccc1OC *NC(=O)N1CCOCC1,2,13,0,2,4,0,16,4,0,0,0,0,2,1.5679,70.95670000000004,0.909960957044,1.78718740506298,60.03,-5.7,3
1041,COC(=O)c1ccccc1S(=O)(=O)N1CCCCC1,*C(=O)OC *c1ccccc1S(=O)(=O)N1CCCCC1,2,13,0,1,4,1,14,6,0,0,0,0,2,1.6478,70.39130000000004,0.797870801991,1.7805206416377235,63.68000000000001,-5.7,3
1040,CC(C)CC(=O)NNC(=O)CCOc1ccccc1,*CCC(=O)NNC(=O)CC(C)C *Oc1ccccc1,2,14,0,2,3,0,14,5,0,0,0,0,1,1.649,72.29440000000004,0.774091860969,1.8256800030310487,67.43,-5.8,3
1039,NS(=O)(=O)c1ccc(C(=O)Nc2ccc(N3CCCC3)nc2)cc1,*c1ccc(S(N)(=O)=O)cc1 *C(=O)Nc1ccc(N2CCCC2)nc1,2,16,0,4,3,1,17,9,0,0,0,1,2,1.5815,91.45240000000004,0.8821044008230001,1.9062647044425065,105.39,-5.9,3
1038,CNC(=O)c1ccc(Cl)c(NCC(=O)OC)c1,*C(=O)NC *c1ccc(Cl)c(NCC(=O)OC)c1,2,11,0,2,3,1,12,5,0,0,0,0,1,1.2845,65.34790000000002,0.8059744504240001,1.8969906621081147,67.43,-5.7,3
1037,CN1CCN(C(=O)CC2CCCC2)CC1,*N1CCN(C)CC1 *C(=O)CC1CCCC1,2,12,0,2,1,0,15,1,0,0,0,1,1,1.3407,60.65200000000005,0.6940204135089999,1.8946615624532903,23.55,-5.3,3
1036,CC(C)(O)CNC(=O)Cc1ccc(NC(=O)C2CC2)cc1,*CC(C)(C)O *NC(=O)Cc1ccc(NC(=O)C2CC2)cc1,2,16,0,2,3,0,17,5,0,1,0,0,1,1.4647,80.80720000000004,0.74940948339,1.936659005047554,78.43,-6.1,3
1035,CCNC(=O)CN(CC)C(=O)COc1ccccc1F,*NCC *C(=O)CN(*)CC *C(=O)COc1ccccc1F,3,14,1,2,3,0,15,5,0,0,0,0,1,1.1891,72.83270000000003,0.827038432538,1.948999431755075,58.64,-5.7,3
1034,COc1ccc(Br)c(C(=O)N2CCN(CCO)CC2)c1,*c1cc(OC)ccc1Br *C(=O)N1CCN(CCO)CC1,2,14,0,2,3,1,17,4,0,0,0,0,2,1.2078,80.12330000000003,0.903855711016,1.928684201984844,53.010000000000005,-5.5,3
1033,COc1ccc(CC(=O)Nc2ccc(S(=O)(=O)N3CCN(C)CC3)cc2)cc1,*c1ccc(OC)cc1 *CC(=O)Nc1ccc(S(=O)(=O)N2CCN(C)CC2)cc1,2,20,0,3,4,1,21,9,0,0,0,0,3,1.8125,108.02550000000002,0.801452814946,1.860055840670452,78.94999999999999,-6.1,3
1032,O=C(NCCOc1cccnc1)C1CCC1,*C(=O)C1CCC1 *CCN* *Oc1cccnc1,3,12,0,2,2,0,13,4,0,0,1,0,1,1.3767,60.08270000000004,0.770688957248,1.831867873341644,51.22,-5.5,3
1031,CC(N)=CC(=O)NCCC(=O)Nc1ccccc1,*NCC *=CC(=O)NCCC(=O)Nc1ccccc1,2,13,0,3,2,0,12,6,0,0,0,0,1,0.9938999999999999,70.64280000000002,0.6784042960851521,1.966010810607301,84.22,-6.2,3
1030,COC(=O)CNc1cc(C)ccc1NC(C)=O,*CC(=O)OC *Nc1cc(C)ccc1NC(C)=O,2,12,0,2,3,0,12,5,0,0,0,0,1,1.53832,65.98840000000003,0.7852918475949999,1.931485645385708,67.43,-6.2,3
1057,O=c1c2ccccc2ncn1CC(O)Cn1cnc2ccccc2c1=O,*n1cnc2ccccc2c1=O *CC(O)Cn1cnc2ccccc2c1=O,2,19,0,4,3,0,19,10,0,0,0,0,4,1.1675,98.01280000000004,0.605300432591,2.2157710279251983,90.00999999999999,-7.0,3
1029,COC(=O)c1ccc(NC(=O)C(C)N)cc1,*NCC *C(=O)Nc1ccc(C(=O)OC)cc1,2,11,0,2,3,0,11,5,0,0,0,0,1,0.7588999999999997,60.06060000000002,0.7395921872986257,2.021329900471626,81.42,-5.6,3
1058,COc1ccc(CNC(=O)Nc2cccn(C)c2=O)cn1,*c1ccc(OC)nc1 *CNC(=O)Nc1cccn(C)c1=O,2,14,0,4,3,0,15,7,0,0,0,0,2,1.1106,78.33040000000001,0.893759339495,2.154851703874151,85.25,-6.6,3
1060,CC1CCN(C(=O)COc2cccc(-n3cnnn3)c2)CC1,*N1CCC(C)CC1 *C(=O)COc1cccc(-n2cnnn2)c1,2,15,0,5,2,0,18,6,0,0,0,1,2,1.2996,79.62700000000004,0.860451840272,2.19034715526368,73.14,-6.9,3
1087,CC(N)NC(=O)N1CCN(C(=O)C(=O)N2CCCC2)CC1,*NCC *NC(=O)N1CCN(C(=O)C(=O)N2CCCC2)CC1,2,13,0,5,3,0,19,3,0,0,0,1,1,-1.2326999999999975,76.14810000000003,0.46733741075217217,2.8432623412189013,98.98,-6.2,3
966,CC(N)NC(=O)CNC(=O)N1CCc2ccccc2C1,*NCC *NC(=O)CNC(=O)N1CCc2ccccc2C1,2,14,0,4,2,0,16,5,0,0,0,0,2,0.17520000000000113,75.74680000000004,0.6879763423939046,2.7038482619151925,87.46,-7.0,3
1086,CC(N)NC(=O)COC(=O)Cn1cnc2ccccc2c1=O,*NCC *NC(=O)COC(=O)Cn1cnc2ccccc2c1=O,2,14,0,4,4,0,16,7,0,0,0,0,2,-0.6393999999999986,78.75410000000002,0.5604605528490673,2.678410034663493,116.31,-6.3,3
1085,CC(N)CNC(=O)CN1CCc2cc(S(N)(=O)=O)ccc21,*NCC *CNC(=O)CN1CCc2cc(S(N)(=O)=O)ccc21,2,13,0,4,3,1,16,6,0,0,0,1,1,-0.8400999999999974,80.39130000000003,0.6548919329992526,2.7714122783960633,118.51999999999998,-6.3,3
1084,CCC(C)C(=O)NC(C(N)=O)C(N)=O,*CCCC *C(=O)NC(C(N)=O)C(N)=O,2,8,0,3,3,0,10,3,0,0,0,0,0,-1.5120999999999984,49.77450000000001,0.46929360595397374,2.8974003599082003,115.28,-5.2,3
1083,CC(N)C(=O)NNC(=O)c1cnccn1,*NCC *C(=O)NNC(=O)c1cnccn1,2,8,0,5,2,0,10,5,0,0,0,0,1,-1.4151999999999993,51.29030000000001,0.517908683153588,2.72892286889776,110.0,-5.5,3
1082,Cc1nn(C)c2nc(-c3ccco3)cc(C(=O)Nc3cc(C(F)(F)F)ccc3OC(C)N)c12,*NCC *Oc1ccc(C(F)(F)F)cc1NC(=O)c1cc(-c2ccco2)nc2c1c(C)nn2C,2,22,3,5,3,0,26,10,0,0,0,2,2,4.491320000000003,114.62260000000002,0.42591209411998143,3.138203964161942,108.2,-8.5,3
1081,CCC(C)c1noc(Cn2ccnc2-c2cccc3c2oc2ccccc23)n1,*CCCC *c1noc(Cn2ccnc2-c2cccc3c2oc2ccccc23)n1,2,22,0,4,2,0,22,10,0,0,0,3,2,5.394300000000005,107.04700000000003,0.41333036630941,3.0749734673643854,69.88,-8.7,3
1080,CCC(C)c1ccc(C2CC(=O)NC3=C2C(=O)CC(c2cc(OC)ccc2OC)C3)cc1,*CCCC *c1ccc(C2CC(=O)NC3=C2C(=O)CC(c2cc(OC)ccc2OC)C3)cc1,2,27,0,1,4,0,26,9,0,0,0,0,4,5.221600000000005,124.20270000000004,0.6782124680023202,3.39161249961927,64.63000000000001,-8.7,3
1079,O=C(N1CCC2(CC1)OCCO2)C1(c2cc(-c3ccc(Cl)cc3)on2)CC1,*C(=O)C1(c2cc(-c3ccc(Cl)cc3)on2)CC1 *N1CCC2(CC1)OCCO2,2,20,0,2,4,1,25,6,0,1,0,2,2,3.3921,98.31000000000004,0.790050569694,3.2859976718106334,64.80000000000001,-8.4,3
1078,O=C(NCCCc1nc2ccccc2o1)c1cnc(-c2cccs2)nc1[O-],*C(=O)c1cnc(-c2cccs2)nc1[O-] *CCN* *Cc1nc2ccccc2o1,3,19,0,4,3,1,20,10,0,0,0,2,2,2.7825,99.4542,0.5136302025899999,2.781592953074634,103.97,-8.0,3
1077,CC1=NN(c2ccc(C)c(C)c2)C(=O)C1=Cc1c(O)[nH]c(=O)n(-c2cccc(C)c2)c1=O,*N1N=C(C)C(=Cc2c(O)[nH]c(=O)n(-c3cccc(C)c3)c2=O)C1=O *c1ccc(C)c(C)c1,2,24,0,4,4,0,23,12,0,0,0,1,3,2.96276,123.54950000000002,0.6170370993450001,2.7977007284099216,107.76,-8.1,3
1076,Cc1cc(C)cc(NC(=O)C2CCCN(c3nn4c(=O)cc(C)nc4s3)C2)c1,*c1cc(C)cc(C)c1 *NC(=O)C1CCCN(*)C1 *c1nn2c(=O)cc(C)nc2s1,3,20,0,5,2,1,23,8,0,0,0,1,3,2.93136,111.35370000000005,0.7285235538320001,2.9249927966920506,79.60000000000001,-8.2,3
1075,Cc1noc(-c2cccnc2N2CCC(NC(=O)COc3ccc(F)cc3)C2)n1,*c1nc(C)no1 *NC1CCN(c2ncccc2*)C1 *C(=O)COc1ccc(F)cc1,3,20,1,5,3,0,23,9,0,0,0,2,2,2.35302,102.92170000000004,0.683033837226,2.7979174429900344,93.38,-8.1,3
1074,CC(N)=Cc1onc(C)c1S(=O)(=O)N1CCC(C(=O)Nc2ccc3c(c2)OCCO3)CC1,*NCC *=Cc1onc(C)c1S(=O)(=O)N1CCC(C(=O)Nc2ccc3c(c2)OCCO3)CC1,2,21,0,4,6,1,26,9,0,0,0,1,3,2.1131199999999994,116.62290000000003,0.6892766520515871,2.759978665472861,136.99,-7.9,3
1073,CN(Cc1ccc2c(c1)OCO2)C(=O)C1CC(=O)N(CCc2ccccc2)C1,*N(C)C(=O)C1CC(=O)N(CCc2ccccc2)C1 *Cc1ccc2c(c1)OCO2,2,22,0,2,4,0,23,8,0,0,0,2,2,2.4649,103.87200000000004,0.7720520591660001,2.6454969403683464,59.080000000000005,-7.9,3
1072,CCC(C)N1Cc2cccc(C(=O)N3CCC4(CC3)NC(=O)c3ccccc3O4)c2C1=O,*CCCC *N1Cc2cccc(C(=O)N3CCC4(CC3)NC(=O)c3ccccc3O4)c2C1=O,2,25,0,3,4,0,27,9,0,0,0,1,4,3.1956000000000016,118.47320000000005,0.8064040289415122,3.7454099805998275,78.95000000000002,-8.7,3
1071,O=C(CCN1C(=O)C2C3c4ccccc4C(c4ccccc43)C2C1=O)Oc1ccc2ccccc2c1,*CCC(=O)Oc1ccc2ccccc2c1 *N1C(=O)C2C3c4ccccc4C(c4ccccc43)C2C1=O,2,31,0,1,4,0,28,14,0,0,0,1,7,5.0275,134.46999999999994,0.227254824331,3.846418606049621,63.68000000000001,-8.9,3
